"Gene"	"Gene synonym"	"Ensembl"	"Gene description"	"Uniprot"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA cell line specificity"	"RNA cell line distribution"
"SLC5A3"	"SMIT, SMIT1"	"ENSG00000198743"	"Solute carrier family 5 member 3"	"P53794"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SLC5A6"	"SMVT"	"ENSG00000138074"	"Solute carrier family 5 member 6"	"Q9Y289"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"SLC5A9"	"SGLT4"	"ENSG00000117834"	"Solute carrier family 5 member 9"	"Q2M3M2"	"Tissue enriched"	"Detected in some"	11	"Cell line enriched"	"Detected in some"
"SLC6A3"	"DAT, DAT1"	"ENSG00000142319"	"Solute carrier family 6 member 3"	"Q01959"	"Tissue enriched"	"Detected in some"	14	"Group enriched"	"Detected in some"
"SLC6A6"	"TAUT"	"ENSG00000131389"	"Solute carrier family 6 member 6"	"P31641"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SLC6A9"	"GLYT1"	"ENSG00000196517"	"Solute carrier family 6 member 9"	"P48067"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SLC7A14"	"KIAA1613, PPP1R142"	"ENSG00000013293"	"Solute carrier family 7 member 14"	"Q8TBB6"	"Group enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in some"
"SLC7A2"	"ATRC2, CAT-2, HCAT2"	"ENSG00000003989"	"Solute carrier family 7 member 2"	"P52569"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SLC7A7"	"LPI, y+LAT-1"	"ENSG00000155465"	"Solute carrier family 7 member 7"	"Q9UM01"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SLC8A1"	"NCX1"	"ENSG00000183023"	"Solute carrier family 8 member A1"	"P32418"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SLC9A3"	"NHE3"	"ENSG00000066230"	"Solute carrier family 9 member A3"	"P48764"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in all"
"SLC9A5"	"NHE5"	"ENSG00000135740"	"Solute carrier family 9 member A5"	"Q14940"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SLCO1B1"	"LST-1, OATP-C, OATP1B1, SLC21A6"	"ENSG00000134538"	"Solute carrier organic anion transporter family member 1B1"	"Q9Y6L6"	"Tissue enriched"	"Detected in single"	618	"Cell line enhanced"	"Detected in some"
"SLCO1B3"	"OATP1B3, OATP8, SLC21A8"	"ENSG00000111700"	"Solute carrier organic anion transporter family member 1B3"	"Q9NPD5"	"Tissue enriched"	"Detected in some"	21	"Cell line enhanced"	"Detected in some"
"SLCO1B7"	"LST3, SLC21A21"	"ENSG00000205754"	"Solute carrier organic anion transporter family member 1B7 (putative)"	"G3V0H7"	"Tissue enriched"	"Detected in some"	6	"Cell line enhanced"	"Detected in some"
"SLCO5A1"	"OATP-J, OATP5A1, OATPRP4, SLC21A15"	"ENSG00000137571"	"Solute carrier organic anion transporter family member 5A1"	"Q9H2Y9"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"SLFN12"	"FLJ10260"	"ENSG00000172123"	"Schlafen family member 12"	"Q8IYM2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SLFN12L"	NA	"ENSG00000205045"	"Schlafen family member 12 like"	"Q6IEE8"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SLFN13"	"FLJ31952"	"ENSG00000154760"	"Schlafen family member 13"	"Q68D06"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SLFN14"	NA	"ENSG00000236320"	"Schlafen family member 14"	"P0C7P3"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in some"
"SLFN5"	"MGC19764"	"ENSG00000166750"	"Schlafen family member 5"	"Q08AF3"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SLIT1"	"MEGF4, SLIL1, Slit-1, slit1, SLIT3"	"ENSG00000187122"	"Slit guidance ligand 1"	"O75093"	"Tissue enriched"	"Detected in some"	6	"Cell line enriched"	"Detected in some"
"SLIT3"	"MEGF5, SLIL2, Slit-3, SLIT1, slit2"	"ENSG00000184347"	"Slit guidance ligand 3"	"O75094"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SLITRK2"	"CXorf1, CXorf2, KIAA1854, SLITL1, TMEM257"	"ENSG00000185985"	"SLIT and NTRK like family member 2"	"Q9H156, O96002"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in single"
"SLITRK3"	"KIAA0848"	"ENSG00000121871"	"SLIT and NTRK like family member 3"	"O94933"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SLX4"	"BTBD12, FANCP, KIAA1784, KIAA1987"	"ENSG00000188827"	"SLX4 structure-specific endonuclease subunit"	"Q8IY92"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMAD2"	"JV18-1, MADH2, MADR2"	"ENSG00000175387"	"SMAD family member 2"	"Q15796"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMAD4"	"DPC4, MADH4"	"ENSG00000141646"	"SMAD family member 4"	"Q13485"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMAD5"	"Dwfc, JV5-1, MADH5"	"ENSG00000113658"	"SMAD family member 5"	"Q99717"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMAD6"	"HsT17432, MADH6, MADH7"	"ENSG00000137834"	"SMAD family member 6"	"O43541"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SMARCA1"	"hSNF2L, ISWI, NURF140, SNF2L, SNF2L1, SNF2LB, SWI"	"ENSG00000102038"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"	"P28370"	"Low tissue specificity"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"SMARCA2"	"BAF190, BRM, hBRM, hSNF2a, SNF2, SNF2L2, SNF2LA, Sth1p, SWI2"	"ENSG00000080503"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	"P51531"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enriched"	"Detected in many"
"SMARCAL1"	"HARP, HHARP"	"ENSG00000138375"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"	"Q9NZC9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMARCC1"	"BAF155, CRACC1, Rsc8, SRG3"	"ENSG00000173473"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"	"Q92922"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMC2"	"CAP-E, hCAP-E, SMC2L1"	"ENSG00000136824"	"Structural maintenance of chromosomes 2"	"O95347"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SMC4"	"CAP-C, hCAP-C, SMC4L1"	"ENSG00000113810"	"Structural maintenance of chromosomes 4"	"Q9NTJ3"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMCHD1"	"FSHD2, KIAA0650"	"ENSG00000101596"	"Structural maintenance of chromosomes flexible hinge domain containing 1"	"A6NHR9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMCO4"	"C11orf75, FN5"	"ENSG00000166002"	"Single-pass membrane protein with coiled-coil domains 4"	"Q9NRQ5"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SMCR8"	"FLJ34716"	"ENSG00000176994"	"Smith-Magenis syndrome chromosome region, candidate 8"	"Q8TEV9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMG5"	"EST1B, KIAA1089, LPTS-RP1, LPTSRP1, RP11-54H19.7, SMG-5"	"ENSG00000198952"	"SMG5, nonsense mediated mRNA decay factor"	"Q9UPR3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMG6"	"C17orf31, EST1A, KIAA0732, SMG-6"	"ENSG00000070366"	"SMG6, nonsense mediated mRNA decay factor"	"Q86US8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMG7"	"C1orf16, EST1C, KIAA0250, SGA56M, SMG-7"	"ENSG00000116698"	"SMG7, nonsense mediated mRNA decay factor"	"Q92540"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMNDC1"	"SMNR, SPF30, TDRD16C"	"ENSG00000119953"	"Survival motor neuron domain containing 1"	"O75940"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMOX"	"C20orf16, dJ779E11.1, FLJ20746, MGC1010, PAO, PAOh1, SMO"	"ENSG00000088826"	"Spermine oxidase"	"Q9NWM0"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SMPD4"	"FLJ20297, FLJ20756, KIAA1418, NET13, nSMase-3, NSMASE3"	"ENSG00000136699"	"Sphingomyelin phosphodiesterase 4"	"Q9NXE4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMPDL3B"	"ASML3B"	"ENSG00000130768"	"Sphingomyelin phosphodiesterase acid like 3B"	"Q92485"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SMTN"	NA	"ENSG00000183963"	"Smoothelin"	"P53814"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"SMTNL1"	"CHASM"	"ENSG00000214872"	"Smoothelin like 1"	"A8MU46"	"Tissue enriched"	"Detected in some"	28	"Cell line enhanced"	"Detected in some"
"SMURF1"	"KIAA1625"	"ENSG00000198742"	"SMAD specific E3 ubiquitin protein ligase 1"	"Q9HCE7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SMURF2"	NA	"ENSG00000108854"	"SMAD specific E3 ubiquitin protein ligase 2"	"Q9HAU4"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"SNAI1"	"SLUGH2, SNA, SNAH, SNAIL, SNAIL1"	"ENSG00000124216"	"Snail family transcriptional repressor 1"	"O95863"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SNAI3"	"SMUC, Zfp293, ZNF293"	"ENSG00000185669"	"Snail family transcriptional repressor 3"	"Q3KNW1"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"SNAP91"	"AP180, CALM, KIAA0656"	"ENSG00000065609"	"Synaptosome associated protein 91"	"O60641"	"Tissue enriched"	"Detected in many"	8	"Group enriched"	"Detected in some"
"SNAPC5"	"SNAP19"	"ENSG00000174446"	"Small nuclear RNA activating complex polypeptide 5"	"O75971"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNCAIP"	"SYPH1"	"ENSG00000064692"	"Synuclein alpha interacting protein"	"Q9Y6H5"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SNED1"	"FLJ00133, Snep, SST3"	"ENSG00000162804"	"Sushi, nidogen and EGF like domains 1"	"Q8TER0"	"Low tissue specificity"	"Detected in all"	NA	"Group enriched"	"Detected in some"
"SNF8"	"Dot3, EAP30, VPS22"	"ENSG00000159210"	"SNF8, ESCRT-II complex subunit"	"Q96H20"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNRNP200"	"ASCC3L1, BRR2, HELIC2, KIAA0788, RP33, U5-200KD"	"ENSG00000144028"	"Small nuclear ribonucleoprotein U5 subunit 200"	"O75643"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNRNP35"	"U1SNRNPBP"	"ENSG00000184209"	"Small nuclear ribonucleoprotein U11/U12 subunit 35"	"Q16560"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNTB2"	"D16S2531E, EST25263, SNT2B2, SNT3, SNTL"	"ENSG00000168807"	"Syntrophin beta 2"	"Q13425"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SNX1"	"HsT17379, MGC8664, SNX1A, Vps5"	"ENSG00000028528"	"Sorting nexin 1"	"Q13596"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNX11"	NA	"ENSG00000002919"	"Sorting nexin 11"	"Q9Y5W9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNX13"	"KIAA0713, RGS-PX1"	"ENSG00000071189"	"Sorting nexin 13"	"Q9Y5W8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNX14"	"RGS-PX2"	"ENSG00000135317"	"Sorting nexin 14"	"Q9Y5W7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SNX18"	"SH3PX2, SH3PXD3B, SNAG1"	"ENSG00000178996"	"Sorting nexin 18"	"Q96RF0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SNX20"	"SLIC-1, SLIC1"	"ENSG00000167208"	"Sorting nexin 20"	"Q7Z614"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"SNX25"	"SBBI31"	"ENSG00000109762"	"Sorting nexin 25"	"Q9H3E2"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SNX29"	"FLJ12363, RUNDC2A"	"ENSG00000048471"	"Sorting nexin 29"	"Q8TEQ0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SNX33"	"MGC32065, SH3PX3, SH3PXD3C, SNX30"	"ENSG00000173548"	"Sorting nexin 33"	"Q8WV41"	"Low tissue specificity"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"SNX9"	"SDP1, SH3PX1, SH3PXD3A"	"ENSG00000130340"	"Sorting nexin 9"	"Q9Y5X1"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SOAT1"	"ACAT, SOAT, STAT"	"ENSG00000057252"	"Sterol O-acyltransferase 1"	"P35610"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SON"	"BASS1, C21orf50, DBP-5, FLJ21099, FLJ33914, KIAA1019, NREBP"	"ENSG00000159140"	"SON DNA binding protein"	"P18583"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SORCS1"	"sorCS1"	"ENSG00000108018"	"Sortilin related VPS10 domain containing receptor 1"	"Q8WY21"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"SORL1"	"C11orf32, gp250, LR11, LRP9, SorLA, SorLA-1"	"ENSG00000137642"	"Sortilin related receptor 1"	"Q92673"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SOS1"	"GF1, GINGF, HGF"	"ENSG00000115904"	"SOS Ras/Rac guanine nucleotide exchange factor 1"	"Q07889"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"SP110"	"IFI41, IFI75"	"ENSG00000135899"	"SP110 nuclear body protein"	"Q9HB58"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SP140"	"LYSP100-A, LYSP100-B"	"ENSG00000079263"	"SP140 nuclear body protein"	"Q13342"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SPAG17"	"CT143, FLJ34497, PF6, RP4-776P7.2"	"ENSG00000155761"	"Sperm associated antigen 17"	"Q6Q759"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SPAG5"	"DEEPEST, hMAP126, MAP126"	"ENSG00000076382"	"Sperm associated antigen 5"	"Q96R06"	"Tissue enhanced"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"SPAG9"	"CT89, FLJ13450, FLJ14006, FLJ26141, FLJ34602, HLC4, HSS, JIP-4, JIP4, JLP, KIAA0516, MGC117291, MGC14967, MGC74461, PHET, PIG6, SYD1"	"ENSG00000008294"	"Sperm associated antigen 9"	"O60271"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPARCL1"	"MAST9"	"ENSG00000152583"	"SPARC like 1"	"Q14515"	"Low tissue specificity"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"SPAST"	"ADPSP, FSP2, KIAA1083, SPG4"	"ENSG00000021574"	"Spastin"	"Q9UBP0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPATA2"	"KIAA0757, PD1, PPP1R145, tamo"	"ENSG00000158480"	"Spermatogenesis associated 2"	"Q9UM82"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPATA20"	"FLJ21347, SSP411, Tisp78"	"ENSG00000006282"	"Spermatogenesis associated 20"	"Q8TB22"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SPATA31A1"	"C9orf36, C9orf36A, DKFZP434B204, FAM75A1, FAM75A2, SPATA31A2"	"ENSG00000204849"	"SPATA31 subfamily A member 1"	NA	"Tissue enriched"	"Detected in single"	103	"Cell line enriched"	"Detected in single"
"SPATA31D1"	"FAM75D1, FLJ46321"	"ENSG00000214929"	"SPATA31 subfamily D member 1"	"Q6ZQQ2"	"Tissue enriched"	"Detected in single"	134	"Cell line enriched"	"Detected in single"
"SPATA4"	"SPEF1B, TSARG2"	"ENSG00000150628"	"Spermatogenesis associated 4"	"Q8NEY3"	"Tissue enriched"	"Detected in some"	16	"Cell line enhanced"	"Detected in some"
"SPATA5"	"AFG2, SPAF"	"ENSG00000145375"	"Spermatogenesis associated 5"	"Q8NB90"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPATA9"	"FLJ35906, NYD-SP16"	"ENSG00000145757"	"Spermatogenesis associated 9"	"Q9BWV2"	"Tissue enriched"	"Detected in some"	14	"Cell line enhanced"	"Detected in some"
"SPATC1"	"MGC61633, SPATA15, SPERIOLIN"	"ENSG00000186583"	"Spermatogenesis and centriole associated 1"	"Q76KD6"	"Group enriched"	"Detected in some"	11	"Cell line enriched"	"Detected in some"
"SPATC1L"	"C21orf56"	"ENSG00000160284"	"Spermatogenesis and centriole associated 1 like"	"Q9H0A9"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SPATS1"	"FLJ25442, SPATA8, SRSP1"	"ENSG00000249481"	"Spermatogenesis associated serine rich 1"	"Q496A3"	"Group enriched"	"Detected in some"	4	"Cell line enriched"	"Detected in single"
"SPDL1"	"CCDC99, FLJ20364, hSpindly"	"ENSG00000040275"	"Spindle apparatus coiled-coil protein 1"	"Q96EA4"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPECC1L"	"CYTSA, KIAA0376"	"ENSG00000100014"	"Sperm antigen with calponin homology and coiled-coil domains 1 like"	"Q69YQ0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPEG"	"APEG1, BPEG, KIAA1297, MGC12676, SPEGalpha, SPEGbeta"	"ENSG00000072195"	"SPEG complex locus"	"Q15772"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SPEN"	"KIAA0929, MINT, RBM15C, SHARP"	"ENSG00000065526"	"Spen family transcriptional repressor"	"Q96T58"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPG11"	"FLJ21439, KIAA1840"	"ENSG00000104133"	"SPG11, spatacsin vesicle trafficking associated"	"Q96JI7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPG7"	"CAR, CMAR, SPG5C"	"ENSG00000197912"	"SPG7, paraplegin matrix AAA peptidase subunit"	"Q9UQ90"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPICE1"	"CCDC52, SPICE"	"ENSG00000163611"	"Spindle and centriole associated protein 1"	"Q8N0Z3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPIRE1"	"KIAA1135, spir-1"	"ENSG00000134278"	"Spire type actin nucleation factor 1"	"Q08AE8"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SPOCK3"	"testican-3"	"ENSG00000196104"	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 3"	"Q9BQ16"	"Group enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in some"
"SPPL2C"	"IMP5"	"ENSG00000185294"	"Signal peptide peptidase like 2C"	"Q8IUH8"	"Tissue enriched"	"Detected in some"	31	"Not detected"	"Not detected"
"SPRED1"	"FLJ33903, PPP1R147"	"ENSG00000166068"	"Sprouty related EVH1 domain containing 1"	"Q7Z699"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SPRED2"	"FLJ21897, FLJ31917, Spred-2"	"ENSG00000198369"	"Sprouty related EVH1 domain containing 2"	"Q7Z698"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPRR3"	NA	"ENSG00000163209"	"Small proline rich protein 3"	"Q9UBC9"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"SPRY1"	"hSPRY1"	"ENSG00000164056"	"Sprouty RTK signaling antagonist 1"	"O43609"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"SPTA1"	"EL2"	"ENSG00000163554"	"Spectrin alpha, erythrocytic 1"	"P02549"	"Tissue enriched"	"Detected in some"	5	"Cell line enriched"	"Detected in some"
"SPTAN1"	NA	"ENSG00000197694"	"Spectrin alpha, non-erythrocytic 1"	"Q13813"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPTBN1"	NA	"ENSG00000115306"	"Spectrin beta, non-erythrocytic 1"	"Q01082"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"SPTBN2"	"SCA5"	"ENSG00000173898"	"Spectrin beta, non-erythrocytic 2"	"O15020"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SPTBN4"	"KIAA1642, SPTBN3"	"ENSG00000160460"	"Spectrin beta, non-erythrocytic 4"	"Q9H254"	"Tissue enriched"	"Detected in many"	4	"Cell line enhanced"	"Detected in some"
"SPTBN5"	"BSPECV, HUBSPECV, HUSPECV"	"ENSG00000137877"	"Spectrin beta, non-erythrocytic 5"	"Q9NRC6"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SPTLC2"	"hLCB2a, KIAA0526, LCB2, LCB2A"	"ENSG00000100596"	"Serine palmitoyltransferase long chain base subunit 2"	"O15270"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SPTY2D1"	"DKFZp686I068, FLJ39441, Spt2"	"ENSG00000179119"	"SPT2 chromatin protein domain containing 1"	"Q68D10"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SRCAP"	"DOMO1, EAF1, KIAA0309, SWR1"	"ENSG00000080603"	"Snf2 related CREBBP activator protein"	"Q6ZRS2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SRFBP1"	"BUD22, FLJ25286, p49, Rlb1, STRAP"	"ENSG00000151304"	"Serum response factor binding protein 1"	"Q8NEF9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SRPK1"	"SFRSK1"	"ENSG00000096063"	"SRSF protein kinase 1"	"Q96SB4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SRPX"	"ETX1"	"ENSG00000101955"	"Sushi repeat containing protein, X-linked"	"P78539"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SRPX2"	"SRPUL"	"ENSG00000102359"	"Sushi repeat containing protein, X-linked 2"	"O60687"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"SRRM1"	"MGC39488, POP101, SRM160"	"ENSG00000133226"	"Serine and arginine repetitive matrix 1"	"Q8IYB3"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SRRM2"	"Cwc21, KIAA0324, SRL300, SRm300"	"ENSG00000167978"	"Serine/arginine repetitive matrix 2"	"Q9UQ35"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SSBP3"	"CSDP, FLJ10355, SSDP, SSDP1"	"ENSG00000157216"	"Single stranded DNA binding protein 3"	"Q9BWW4"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"SSC5D"	"FLJ35258, S5D-SRCRB"	"ENSG00000179954"	"Scavenger receptor cysteine rich family member with 5 domains"	"A1L4H1"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"SSH2"	"KIAA1725"	"ENSG00000141298"	"Slingshot protein phosphatase 2"	"Q76I76"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"SSTR3"	NA	"ENSG00000278195"	"Somatostatin receptor 3"	"P32745"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"SSX5"	NA	"ENSG00000165583"	"SSX family member 5"	"O60225"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enriched"	"Detected in some"
"ST13"	"FAM10A1, HIP, HSPABP1, P48, SNC6"	"ENSG00000100380"	"ST13, Hsp70 interacting protein"	"P50502"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ST3GAL3"	"MRT12, SIAT6"	"ENSG00000126091"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	"Q11203"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ST6GALNAC5"	"MGC3184, SIAT7E, ST6GalNAcV"	"ENSG00000117069"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"	"Q9BVH7"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ST8SIA2"	"HsT19690, SIAT8B, ST8SIA-II, STX"	"ENSG00000140557"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"	"Q92186"	"Group enriched"	"Detected in some"	5	"Cell line enhanced"	"Detected in some"
"ST8SIA3"	"SIAT8C"	"ENSG00000177511"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"	"O43173"	"Tissue enriched"	"Detected in some"	5	"Group enriched"	"Detected in some"
"ST8SIA6"	"SIAT8F"	"ENSG00000148488"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"	"P61647"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
